Country_name,Country_code,Avg_mig,Health_exp,Consum_exp,National_incP.C,National_inc,Prim_enrol_rate,Current_accbal,Employers_total,Employment_serv,Employment_indus,Employment_agri,Expense,GDP_growth,Hightech_exports,HIV_incidence,Labor_particip_rate,Life_expect_birth,Pop_total,Pop_density,Pop_slums,Tax_revenue,Tech_grants,Lit_rate15_24,S&P_equityindex,Reg_business,migration
Niger,NER,-18757.9375,6.381625,95.091425,0.223875,2.19445,37.47715,-9.80365,0.45,23.325,8.325,28.45,0,3.281325,4269034.19,0.11335,63.2325,51.9547,12418847.98,9.804075,81.9625,0,75945375,0.351925,0,8.33975,2
Nigeria,NGA,-195506.4375,5.710175,84.89,6.56315,9.34885,50.314975,9.345975,0,31.725,7.875,26.36905,6.6301,6.39065,18990408.63,0.41415,56.018325,48.128375,131019999.9,143.8563,67.91665,2.03125,155488333.3,0.773975,13.9415,6.733975,2
North America,NAC,6193037.688,5.949775,39.865675,1.10755,2.150025,96.391825,0,0,75.907575,22.3743,11.29675,21.22565,2.2206,1.82E+11,0,74.947075,77.2637,317655889.1,17.4047,0,10.713675,0,0,0,3.235575,4
Norway,NOR,105565.9375,1.92915,33.666425,2.753575,3.524425,99.234875,10.55375,2.222925,74.153325,21.889175,20.000675,35.60445,2.308825,2612209372,0,78.1621,79.201475,4573823.536,12.522425,0,25.53185,0,0,10.7181,3.650625,3
Oman,OMN,156729.5625,9.14535,33.3236,2.018,4.526375,85.015525,5.117975,1.733325,74.191675,13.975,18.614775,28.941525,3.8491,37625845.78,0,58.741675,72.820425,2453597.405,7.9276,15.125,3.866775,9945208.333,0.747625,14.57773333,6.97755,3
Pakistan,PAK,-1080608.5,4.6199,42.947625,1.713975,4.02955,51,-2.30075,0.9003,34.6445,19.613375,31.22525,17.293475,4.405325,116364356.2,0.01,53.24835,63.114875,144193413.5,187.0504,48.2625,10.86425,187000500,0.552425,17.45336667,9.53205,1
Palau,PLW,0,5.08365,43.0604,0,0,24.778925,-12.9554,0,80.26875,13.9375,1.94375,0,0.3475,289202.1667,0,0,69.97175,18906.39288,41.215425,0,0,3574000,0.7423,0,5.7532,3
Panama,PAN,14845.8125,8.795275,38.556325,5.108475,7.092825,94.81815,-4.652925,3.024575,63.855825,17.668025,18.35435,15.125325,5.811475,58574943.55,0.08085,67.1975,75.3571,3142865.542,42.2769,17.6,7.4899,25748208.33,0.993,3.885133333,4.4423,3
Papua New Guinea,PNG,0,6.3403,73.154025,-2.132875,-0.265125,21.789725,3.27315,0,11.35,2.7,31.8197,20.309525,4.4507,18248496.42,0.0842,72.98415,59.4734,5685218.667,12.554025,0,15.63755,152894625,0.4633,0,4.5,3
Paraguay,PRY,-67240.4375,5.584575,53.73365,1.2336,2.487375,93.8891,0.862625,5.66445,55.85395,18.94275,18.558,11.9534,3.38995,14864116.96,0.04165,73.277075,70.506075,5449539.476,13.716425,13.2,8.149225,49582541.67,0.750675,0,9.35255,2
